"xXx href","thumbnail-img src","xXx","xXx 2","xXx href 3","xXx 3","xXx href 4","stareval-note","review-card-meta-date","content-txt","txt","txt 2"
"https://www.sensacine.com/miembro/Z20101031180815197711766/","https://es.web.img3.acsta.net/c_80_80/commons/v9/common/empty/empty_avatar.png","Raúl C","37.129 usuarios","https://www.sensacine.com/miembro/Z20101031180815197711766/communidad/seguidores/","550 críticas","https://www.sensacine.com/miembro/Z20101031180815197711766/criticas/peliculas/","3,5","Publicada el 7 de enero de 2024","La Sociedad de la Nieve (2023).""No hay amor más grande que el que da la vida por sus amigos.”Treinta años después de que Frank Marshall diera a conocer al mundo la historia del malogrado equipo de rugby uruguayo en Los Andes, nuestro compatriota Juan Antonio Bayona estrena su versión con el estilo y calidad que le caracteriza.Con un reparto básicamente argentino y uruguayo, Bayona echa mano de unos actores poco conocidos -al contrario que se hiciera en “Viven” con nombres como Ethan Hawke o Josh Lucas- pero que están a la altura, transmitiéndonos el horror y desesperanza vividas en ese último trimestre de 1972.“Lo único que nos queda es la vida. Tenemos que defenderla por encima de todo.”Bayona, quien también coproduce y coescribe el guión de la cinta, se centra en la parte más dramática de la terrible aventura de los supervivientes del letal accidente aéreo. Para ello, y como es habitual en sus obras, cuenta con unos excelentes efectos especiales, y una caracterización y maquillaje que seguro darán que hablar en los próximos premios Goya.Aunque el nivel de este drama es tan alto como se pueda esperar de cualquier trabajo de Bayona, el largometraje de más de dos horas de duración no es tan entretenido como el “Viven” de 1993, y al ser una coproducción española (con participación de Uruguay, Chile y EE.UU.), el idioma elegido es el nuestro, con lo que la dicción sudamericana no es precisamente tan inteligible como el castellano neutro de nuestros magníficos dobladores españoles. El director barcelonés ha elegido pues centrarse en el drama personal de los supervivientes por encima de otra cuestión, lo cual le ha valido hasta la fecha el reconocimiento tanto del público como de la crítica especializada.“Hay que regresar al pasado sabiendo que el pasado es lo que más cambia.”Las localizaciones elegidas para el rodaje del único accidente aéreo con supervivientes en Los Andes hasta el momento, aparte de la andaluza Sierra Nevada donde se filmó durante cuatro largos y fríos meses, han sido Chile, Montevideo y Argentina.El presupuesto ha llegado a los 65 millones de euros, y se aprecia desde el momento en que se produce el citado accidente hasta el final de tan impactante filme.Raúl Cabral.Puntuación personal: 7","0","0"
"https://www.sensacine.com/miembro/Z20111005213520730426281/","https://es.web.img3.acsta.net/c_80_80/commons/v9/common/empty/empty_avatar.png","pepalvarez","667 usuarios","https://www.sensacine.com/miembro/Z20111005213520730426281/communidad/seguidores/","87 críticas","https://www.sensacine.com/miembro/Z20111005213520730426281/criticas/peliculas/","4,5","Publicada el 21 de enero de 2024","Magnífica adaptación de un realismo como el que nos tiene acostumbrado Bayona. La dirección de actores y el casting son magníficos. Es emotiva en su justo punto sin caer en la lágrima fácil.En una palabra... imprescindible !","0","0"
"https://www.sensacine.com/miembro/Z20161008133552293959848/","https://es.web.img3.acsta.net/c_80_80/avatar/ES/8/4/8/Z20161008133552293959848/img/pj0uqsdi.tds.jpg","muvifan","6 usuarios","https://www.sensacine.com/miembro/Z20161008133552293959848/communidad/seguidores/","16 críticas","https://www.sensacine.com/miembro/Z20161008133552293959848/criticas/peliculas/","4,0","Publicada el 5 de enero de 2024","Cuando escuché que Bayona iba a rodar esta historia que ya había visto en ""Viven"", pensé lo mismo que cuando Spielberg rodó ""West Side Story"".¿Para qué?, me preguntaba. Ya se ha filmado; estos directores deben ser originales y no repetir, me decía.Su resultado va a ser bueno porque ellos son buenos. Pero, ¿es necesario? ¿Pueden superar a la original por muy buenos que sean?A mí modo de ver, y respetando la distancia entre ambos directores (Spielberg es mi Dios), Bayona lo consigue. Escenas impactantes; angustia, por momentos desbordante, y un grupo que lucha por sobrevivir ante el aislamiento y el poder de la impresionante y hermosísima naturaleza. La realidad de esa increíble historia, queda perfectamente plasmada en esta película sobresaliente que crea emociones desde el buen uso de la técnica, de las interpretaciones, de la música y de la dureza de lo que se ve y siente hasta el final.Y la verdad, a uno le gusta sentir emociones en el cine, aunque... ya no esté para ver tanto sufrimiento.","0","0"
"https://www.sensacine.com/miembro/Z20180301133502033689177/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Ozonero","109.552 usuarios","https://www.sensacine.com/miembro/Z20180301133502033689177/communidad/seguidores/","1.270 críticas","https://www.sensacine.com/miembro/Z20180301133502033689177/criticas/peliculas/","3,5","Publicada el 11 de enero de 2024","Rodada y planificada meticulosamente, como es costumbre en su director, de eso no cabe duda, ""La sociedad de la nieve"" tiene todos los defectos y virtudes del cine de Bayona: No se le puede poner un pero cinematográfico, sea en la imagen, en el montaje, la banda sonora... Y esta película es excepcional en eso, sin duda. Pero, como he comentado, también tiene los defectos del cine de Bayona, y para mí hay uno fundamental: Le falta algo, no sé si llamarlo alma, sello... La cuestión es que vuelve a tratar un tema realmente dramático y lo rueda muy bien pero da la sensación de ser a veces una película no todo lo emocional que debiera, como si hubiera cierta ""equidistancia artística"" si se me permite la expresión. Es lo mismo que sentí con ""Un monstruo viene a verme"", quizás junto a ""El orfanato"" su película más personal.","0","0"
"https://www.sensacine.com/miembro/Z20210922184849441633907/","https://es.web.img3.acsta.net/c_80_80/commons/v9/common/empty/empty_avatar.png","FRANCISCO VILLAESCUSA CRIADO","637 usuarios","https://www.sensacine.com/miembro/Z20210922184849441633907/communidad/seguidores/","269 críticas","https://www.sensacine.com/miembro/Z20210922184849441633907/criticas/peliculas/","4,0","Publicada el 5 de enero de 2024","Película española del 2023, de una duración de 144 minutos, con una valoración de 7/10, bajo dirección de Juan Antonio Bayona y guión de Jaime Marqués y Nicolás Caseiro, adaptacion del libro de Pablo Viera de 2009. Un trabajo de cien días de rodaje con 300 personas, y que cuenta con uno de los más altos presupuestos dentro de la cinematografia española con 60 millones, ante escenarios naturales en condiciones extremas.Famoso accidente aéreo en los Andes en 1973, del vuelo Uruguayo 571, del que el equipo de rugby Old Christians Club del que sobrevivieron 29 de 45, tras 72 días de angustias y muertes antes de ser rescatados a 3.570 metros de altura, cuando ya no se tenían esperanzas de vida. Con una primera versión eeuu de 1993 ""Alive""; serie documental tv EEUU del 2009 ""Stranded: The Andes Plane Crash Survivorsasí""; como los distintos libros de varios sobrevivientes del accidente.Su realizador vuelve a demostrar que es un gran narrador de historias de supervivencia y emociones, este soberbio nuevo trabajo del director barcelones Bayona, vuelve a alcanzar niveles de excelencia moldeando la tragedia de la supervivencia asentada en los hechos reales, el ser humano en su lucha contra la implacable y brutal naturaleza, nos hace sentir el frio, el hombre, la perdida, y la perdida de opciones.Se trata de un largometraje en que ni le falta, ni sobra nada: la película en un ritmo perfecto, se toma el tiempo necesario para ceñirse a los hechos de la forma más precisa posible, en los distintos hitos de la historia y rindiendo homenaje a las personas que perdieron la vida, así como la de aquellos que la salvaron.Este remember sacado de la adaptación del libro del mismo título de 2009, escrito por Pablo Vierci donde se recogen los testimonios de los supervivientes. Es conocida la obsesión de Bayona por ser fiel a sus fuentes de documentación así como por recrear de la forma más realista posible el devenir de los acontecimientos con un respeto enorme hacia ellos, que lo vivieron en primera persona.No es un largometraje fácil, pero tampoco es morboso, ni se recrea en las miserias, sino que busca aportar luz, comprensión y adopta un enfoque muy humano, ante que el espectador se sienta identificado y emocionado por las distintas formas de afrontar el reto de los personajes. En su grandeza: todo está al servicio de la narración, sin buscar emociones que no sean genuinas a cada personaje, y sin intentar juzgar a nadie.Pero no solo es escrupuloso en lo que se refiere a los términos de la historia, sino que también presta una atención increíble a la puesta en escena. La película funciona de principio a fin, porque consigue desde el primer momento que como espectadores sintonicemos con este grupo de jóvenes atrapados en el hielo, que caminemos en sus zapatos, que sintamos el frío en nuestros huesos.La parte de la recreación es excepcional: no hay detalle que no esté medido al milímetro: atrezzo, caracterizaciones, vestuario, el interior de la avioneta... pero donde la película se lleva la palma es en el casting y la dirección de actores. Caer en el patetismo habría sido fácil, pero Bayona dirige a su elenco con un talento magistral. Enzo Vogrincic como (Numa Turcatti) pues se merece ser mencionado, sin desmerecer a sus compañeros Agustín Pardella (como Nando Parrado)  o Matías Recalt (como Canessa) . Uno de los desafíos de la película era, precisamente, manejar un reparto amplio, consiguiendo en poco tiempo individualizarlos y convertirlos en piezas imprescindibles de un puzle de almas puestas a prueba por la brutalidad de la desgracia.No hay juicios de valor, no hay pensamientos mágicos, ni se recurre a frases ampulosas para dotar de filigranas a una historia cuya fortaleza reside, precisamente, en la ausencia de artificios. Es honesta, conmovedora y emotiva sin necesidad de meterle los dedos en los ojos a los espectadores ni buscar volvernos el estómago, algo que se agradece, se puede impactar sin arrollar. Peliculón que intenta alejarse de la espectacularidad comercial, pero que consigue llegar donde solo unas pocos lo logran al corazón mismo de las personas, independientemente de que conozcan de forma previa la historia. Destaca en todos los apartados técnicos y humanos que son sobresalientes; muy bien en libreto, interpretaciones, diseño de producción, ritmo de la historia, aunque si que es verdad que en tiempo se estira un poco. No es de extrañar que haya sido la opción adecuada para competir por España en los Óscar.","0","0"
"https://www.sensacine.com/miembro/Z20200629070849655864956/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Oliver Medina","2 usuarios","https://www.sensacine.com/miembro/Z20200629070849655864956/communidad/seguidores/","15 críticas","https://www.sensacine.com/miembro/Z20200629070849655864956/criticas/peliculas/","3,5","Publicada el 14 de enero de 2024","Una nueva visión del accidente que le dió la vuelta al mundo sobre el avión de Los Andes con cuarenta y cinco pasajeros que se estrelló en mil novecientos setenta y dos es traído de la mano de Netflix y J. A. Bayona. A simple vista se nota que el presupuesto de sesenta millones de euros fue muy bien plasmado en la pantalla en todos los departamentos técnicos y su diseño de producción al grado de la precisión quirúrgica.No se escatimaron gastos para traernos la película más realista posible sobre una gran tragedia. El titánico y complejo esfuerzo de varios años realizado por Netflix de esta súper producción se puede apreciar muy bien en las secuencias más determinantes de la historia, como el propio accidente con el que abre la película que es una joya cinematográficamente hablando y habrá que poner una lupa encima en alguna secuencia que se haya realizado de forma tan salvaje, detallista y muy bien fotografiada sobre el accidente de un avión. De igual modo la escena donde hay una avalancha de nieve que cae encima del avión en el segundo acto nos muestra el alto nivel de realización que contiene la cinta. Visualmente la película es bella, refleja ese mundo cruel y extremo de la supervivencia con sus escrupulosas tomas en contra relieve de las montañas, puesto que el mayor desafío de filmar una película en condiciones reales, es estar en contra del propio clima todo el tiempo y detallar muy bien donde va intervenir la luz natural. Se siente a grandes rasgos que es el departamento donde más hincapié se hizo. Narrativamente la sociedad de la nieve nos lleva al grano. No nos adentra a conocer a ningún personaje, ni se centra en ninguno en especial, pasado los diez minutos te llevan al eje de la cinta que desenvolverá la odisea que atravesarán nuestros protagonistas en forma de cántico coral, pues la película se centra en las víctimas y últimos sobrevivientes del accidente, en ese sentido la trama no se sostiene de nadie, lo que puede ser algo bueno o malo dependiendo desde que óptica lo aprecies. Por un lado sumando los esfuerzos de maquillaje y caracterización, se nota la delicada atención a mostrarnos un filme de supervivencia, pero por el otro lado no se siente contundente la resiliencia o el deseo de sobrevivir en alguna escena en especial por parte de algún personaje o situación en específico, así como también se puede volver repetitiva. Existen diversos dilemas éticos y problemas que rozan la superficialidad y el poco o nulo desarrollo de estos temas hacen opacar cualquier intento actoral o situación que sobre salga en la película. Siendo que sí bien, técnicamente está bien hecha, magistralmente musicalizada y fotografiada, el guión no se atreve a abordar ni sumergirse en la crudeza dramática que pudo haber alcanzado un grupo de hombres adultos envueltos en el canibalismo, muerte y desesperación humana, lo que la aleja de ser una obra maestra y más bien es un gran blockbuster muy bien hecho.","0","0"
"https://www.sensacine.com/miembro/Z20230218235335208419219/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Celeste Cao","1 usuario","https://www.sensacine.com/miembro/Z20230218235335208419219/communidad/seguidores/","3 críticas","https://www.sensacine.com/miembro/Z20230218235335208419219/criticas/peliculas/","5,0","Publicada el 17 de enero de 2024","Excelente película, te mantiene en vilo de principio a fin sintiendo lo mismo que los protagonistas y pasando por muchas emociones diferentes. Es un relato de la capacidad de ser humano y cómo la amistad y el amor pueden ser el motor de todo. Excelente obra.","0","0"
"https://www.sensacine.com/miembro/Z20231203172018073339312/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","qiero986","67 críticas","https://www.sensacine.com/miembro/Z20231203172018073339312/criticas/peliculas/","","","0,5","Publicada el 6 de enero de 2024","la misma historia ya contada. creo que no aporta nada y es una revisión que añade acento y actores autóctonos. me gusta más la versión de viven de 1991","1","3"
"https://www.sensacine.com/miembro/Z20231126123036917215966/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","SY cinema","2 usuarios","https://www.sensacine.com/miembro/Z20231126123036917215966/communidad/seguidores/","15 críticas","https://www.sensacine.com/miembro/Z20231126123036917215966/criticas/peliculas/","5,0","Publicada el 21 de diciembre de 2023","Una película emocionante, conmovedora y muy dura.Una vez más, Bayona nos deja boquiabiertos con una película que deja huella en el alma.Muestra la crudeza de lo que vivieron de una manera que sumerge al espectador dentro de la historia, sintiéndote uno más de ellos, hasta llegar a sentir el frío, el dolor e incluso la desesperación. Saber que se trata de una historia basada en hechos reales te deja un sentimiento aterrador.La escena del accidente es impresionante, no hemos visto una tan realista como esta.Mientras ves la película no ves actores, ves a chicos jóvenes luchando por sobrevivir.Solo con sus gestos y miradas te transmiten todo lo que están pasando. El frío extremo, la soledad, el miedo, los ataques de locura y desesperación de no tener alimentos, que te hace llegar a extremos tan impensables como el canibalismo.La lucha por sobrevivir de todos los supervivientes es algo increíble. Sobre todo por el pensamiento y la sensación de saber que lo más probable es que vas a morir. Es muy emotivo.La película nos muestra fríamente hasta donde puede llegar el ser humano para sobrevivir y como el ingenio se agudiza. Y lo más importante, encontrar por sus propios medios, la forma de salir de ese infierno blanco.Sin duda una de las mejores películas de este año.Es digna de ver en cines, tanto por la imagen como por el sonido que te estremece y verlo en la gran pantalla te hace sumergirte en la historia. No obstante la tendréis en Netflix el día 4 de enero.Enhorabuena, J.A. Bayona. 10/10⭐Podéis seguirnos en redes sociales como: SY.cinema","0","0"
"https://www.sensacine.com/miembro/Z20230928151118076736170/","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAAAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==","Cristina Guerrero","1 usuario","https://www.sensacine.com/miembro/Z20230928151118076736170/communidad/seguidores/","3 críticas","https://www.sensacine.com/miembro/Z20230928151118076736170/criticas/peliculas/","5,0","Publicada el 25 de enero de 2024","Sin duda me ha transportado al valle de las lágrimas. Un film que te atrapa y lo sufres hasta el último segundo. Es espectacular. Banda sonora y fotografía se merecen un Oscar.","0","0"